test_group_ts,round_ts,scope,run_id,ai,attempt,trigger_to_confirmed_ms,send_done_to_match_ms,reply_wait_sec,elapsed_sec,ok,error
20260303_155649,2026-03-03T15:56:49.062697+00:00,serialtabs_smoke,smoke-20260303_155649-1268eb15,grok,1,360.000,6280.000,6.280,8.892,True,
20260303_155649,2026-03-03T15:56:49.062697+00:00,serialtabs_smoke,smoke-20260303_155649-1268eb15,chatgpt,1,510.000,7756.000,7.756,9.774,True,
20260303_155649,2026-03-03T15:56:49.062697+00:00,serialtabs_smoke,smoke-20260303_155649-1268eb15,gemini,1,532.000,3397.000,3.397,4.833,True,
20260303_155649,2026-03-03T15:57:14.664746+00:00,serialtabs_smoke,smoke-20260303_155714-8d825b5e,grok,1,361.000,7578.000,7.578,91.559,True,
20260303_155649,2026-03-03T15:57:14.664746+00:00,serialtabs_smoke,smoke-20260303_155714-8d825b5e,chatgpt,1,601.000,3018.000,3.018,5.096,True,
20260303_155649,2026-03-03T15:57:14.664746+00:00,serialtabs_smoke,smoke-20260303_155714-8d825b5e,gemini,1,470.000,3557.000,3.558,4.870,True,
20260303_155649,2026-03-03T15:58:57.808692+00:00,serialtabs_smoke,smoke-20260303_155857-22b70159,grok,1,481.000,26387.000,26.386,152.837,True,
20260303_155649,2026-03-03T15:58:57.808692+00:00,serialtabs_smoke,smoke-20260303_155857-22b70159,chatgpt,1,649.000,3325.000,3.325,5.307,True,
20260303_155649,2026-03-03T15:58:57.808692+00:00,serialtabs_smoke,smoke-20260303_155857-22b70159,gemini,1,491.000,3395.000,3.395,4.958,True,
20260303_155649,2026-03-03T16:01:42.537974+00:00,serialtabs_smoke,smoke-20260303_160142-c1c93d8d,grok,1,345.000,4986.000,4.986,94.755,True,
20260303_155649,2026-03-03T16:01:42.537974+00:00,serialtabs_smoke,smoke-20260303_160142-c1c93d8d,chatgpt,1,564.000,2420.000,2.420,4.419,True,
20260303_155649,2026-03-03T16:01:42.537974+00:00,serialtabs_smoke,smoke-20260303_160142-c1c93d8d,gemini,1,492.000,3596.000,3.596,4.939,True,
20260303_155649,2026-03-03T16:03:28.308823+00:00,serialtabs_smoke,smoke-20260303_160328-903d8bd3,grok,1,463.000,19852.000,19.852,103.654,True,
20260303_155649,2026-03-03T16:03:28.308823+00:00,serialtabs_smoke,smoke-20260303_160328-903d8bd3,chatgpt,1,800.000,1825.000,1.826,4.057,True,
